James Gandolfini,{'The Sopranos': 'Tony Soprano'}
Edie Falco,{'The Sopranos': 'Carmela Soprano'}
Michael Imperioli,"{'The Sopranos': 'Christopher Moltisanti', 'Goodfellas': 'Spider'}"
Steven Van Zandt,{'The Sopranos': 'Silvio Dante'}
Robert Iler,{'The Sopranos': 'A.J. Soprano'}
Tony Sirico,"{'The Sopranos': ""Paulie 'Walnuts' Gualtieri"", 'Goodfellas': 'Tony Stacks'}"
Jamie-Lynn Sigler,{'The Sopranos': 'Meadow Soprano'}
Lorraine Bracco,"{'The Sopranos': 'Dr. Jennifer Melfi', 'Goodfellas': 'Karen Hill'}"
Dominic Chianese,{'The Sopranos': 'Junior Soprano'}
Aida Turturro,{'The Sopranos': 'Janice Soprano'}
Steve Schirripa,"{'The Sopranos': ""Bobby 'Bacala' Baccalieri""}"
Drea de Matteo,{'The Sopranos': 'Adriana La Cerva'}
Dan Grimaldi,{'The Sopranos': 'Patsy Parisi'}
Joseph R. Gannascoli,{'The Sopranos': 'Vito Spatafore'}
Sharon Angela,{'The Sopranos': 'Rosalie Aprile'}
John Ventimiglia,{'The Sopranos': 'Artie Bucco'}
Vincent Curatola,"{'The Sopranos': ""Johnny 'Sack' Sacramoni""}"
Frank Vincent,"{'The Sopranos': 'Phil Leotardo', 'Goodfellas': 'Billy Batts'}"
Federico Castelluccio,{'The Sopranos': 'Furio Giunta'}
Jerry Adler,{'The Sopranos': 'Hesh Rabkin'}
Arthur J. Nascarella,{'The Sopranos': 'Carlo Gervasi'}
Max Casella,{'The Sopranos': 'Benny Fazio'}
Maureen Van Zandt,{'The Sopranos': 'Gabriella Dante'}
Vincent Pastore,"{'The Sopranos': ""Salvatore 'Big Pussy' Bonpensiero"", 'Goodfellas': 'Man with Coatrack'}"
Robert Funaro,{'The Sopranos': 'Eugene Pontecorvo'}
Carl Capotorto,{'The Sopranos': 'Little Paulie Germani'}
Matt Servitto,{'The Sopranos': 'Agent Dwight Harris'}
Tom Aldredge,{'The Sopranos': 'Hugh DeAngelis'}
Nancy Marchand,{'The Sopranos': 'Livia Soprano'}
Joe Pantoliano,{'The Sopranos': 'Ralph Cifaretto'}
Suzanne Shepherd,"{'The Sopranos': 'Mary DeAngelis', 'Goodfellas': ""Karen's Mother""}"
Kathrine Narducci,{'The Sopranos': 'Charmaine Bucco'}
Angelo Massagli,{'The Sopranos': 'Bobby Baccalieri Jr.'}
Denise Borino-Quinn,{'The Sopranos': 'Ginny Sacrimoni'}
Ray Abruzzo,{'The Sopranos': 'Carmine Lupertazzi Jr.'}
George Loros,{'The Sopranos': 'Raymond Curto'}
Tony Darrow,"{'The Sopranos': 'Larry Boy Barese', 'Goodfellas': 'Sonny Bunz'}"
Steve Buscemi,{'The Sopranos': 'Tony Blundetto'}
